NIT,Razón social de la sociedad,CIIU,Departamento de la dirección del domicilio,Fecha de Corte,Activos corrientes totales (CurrentAssets),Pasivos corrientes totales (CurrentLiabilities),Total de activos (Assets),Total pasivos (Liabilities),Patrimonio total (Equity),Ganancia (pérdida) por actividades de operación (ProfitLossFromOperatingActivities),Ingresos de actividades ordinarias (Revenue),Ganancia (pérdida) (ProfitLoss),dya,cfo,capex_ppe,capex_int,anio,capital_trabajo,ebitda,fcl,tamano,ebitda_margen,margen_neto,roa,apalancamiento,razon_corriente,ebitda_wz,capital_trabajo_wz,fcl_wz,ebitda_neg,capital_trabajo_neg,fcl_neg,periodo,ciiu_2d,margen_ebitda_rel_sector,apalancamiento_rel_sector,depto_norm,semaforo,activos_calc,error_contable,error_contable_pct,inconsistente
800023551,CI INTERAMERICAN CONMINAS SAS,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",BOGOTA D.C.,2017-12-31,32880806.0,59642500.0,77695066.0,59991160.0,17703906.0,3349893.0,122601851.0,966999.0,2307986.0,983575.0,1881020.0,90617.0,2017,-26761694.0,5657879.0,-988062.0,Mediana,4.614839787369932,0.7887311587163558,1.244607990937288,77.213603242193,0.5512982520853418,5657879.0,-26761694.0,-988062.0,False,True,True,Pre-pandemia (2017-2019),G4,-0.2239562397583592,12.220058884089042,"BOGOTA, D.C.",Alerta,77695066.0,0.0,0.0,False
800023622,FLORES SILVESTRES S.A.,A0125 - Cultivo de flor de corte,ANTIOQUIA,2017-12-31,14686038.0,9049664.0,56118108.0,22786474.0,33331634.0,1181120.0,36257983.0,2709458.0,510326.0,641288.0,1258881.0,,2017,5636374.0,1691446.0,-617593.0,Mediana,4.665030594779638,7.472721248724729,4.828134975612507,40.604494363922605,1.6228268806444084,1691446.0,5636374.0,-617593.0,False,False,True,Pre-pandemia (2017-2019),A0,-5.794764982911853,0.02752928599109339,ANTIOQUIA,Alerta,56118108.0,0.0,0.0,False
800024265,EDITORIAL SANTILLANA SAS,J5811 - Edición de libros,BOGOTA D.C.,2017-12-31,18973565.0,5929156.0,20863944.0,5929319.0,14934625.0,851322.0,15222093.0,1156110.0,924568.0,1488719.0,113948.0,1282834.0,2017,13044409.0,1775890.0,91937.0,Pequeña,11.666529694700985,7.5949476855777975,5.541186268521426,28.41897485921166,3.2000448293146615,1775890.0,13044409.0,91937.0,False,False,False,Pre-pandemia (2017-2019),J5,2.046541119071861,-19.4931456980162,"BOGOTA, D.C.",Sano,20863944.0,0.0,0.0,False
800025839,VILLEGAS Y CIA SOCIEDAD EN COMANDITA SIMPLE,C1061 - Trilla de café,RISARALDA,2017-12-31,79765692.0,43896659.0,123389017.0,80516917.0,42872100.0,10496048.0,158150865.0,-57920.0,422293.0,-2108321.0,1944031.0,8875.0,2017,35869033.0,10918341.0,-4061227.0,Grande,6.903750415781791,-0.03662325843111892,-0.04694096882220887,65.25452504415364,1.8171244422041322,10918341.0,35869033.0,-4061227.0,False,False,True,Pre-pandemia (2017-2019),C1,-2.37280206547167,10.831164915079441,RISARALDA,Alerta,123389017.0,0.0,0.0,False
800026092,HB FULLER COLOMBIA S.A.S.,C2029 - Fabricación de otros productos químicos n.c.p.,ANTIOQUIA,2017-12-31,50873442.0,14101706.0,73372523.0,14101706.0,59270817.0,20761468.0,89779454.0,11007630.0,814822.0,18824649.0,1170303.0,,2017,36771736.0,21576290.0,17654346.0,Mediana,24.032547580429707,12.26074509207864,15.002387201541373,19.219328194561335,3.6076090368073195,21576290.0,36771736.0,17654346.0,False,False,False,Pre-pandemia (2017-2019),C2,13.547118264838996,-30.406283387146978,ANTIOQUIA,Sano,73372523.0,0.0,0.0,False
800026212,RICOH COLOMBIA S.A.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,BOGOTA D.C.,2017-12-31,46436806.0,23978732.0,69825076.0,23978732.0,45846344.0,-5154640.0,75102319.0,-4323403.0,13770033.0,-48933092.0,1779046.0,961413.0,2017,22458074.0,8615393.0,-51673551.0,Mediana,11.471540579193034,-5.75668375832709,-6.191762684225363,34.341147011426095,1.9365830520145937,8615393.0,22458074.0,-51673551.0,False,False,True,Pre-pandemia (2017-2019),G4,6.632744552064743,-30.652397346677866,"BOGOTA, D.C.",Alerta,69825076.0,0.0,0.0,False
800026696,COMPRAS PROGRAMADAS ELECTROPLAN S.A SOCIEDAD ADMINISTRADORA DE PLANES DE AUTOFINANCIAMIENTO COMERCIAL,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,BOGOTA D.C.,2017-12-31,14963333.0,21585238.0,26159906.0,22586335.0,3573571.0,1047054.0,9703246.0,513114.0,164171.0,-3577036.0,38316.0,2365345.0,2017,-6621905.0,1211225.0,-5980697.0,Pequeña,12.482678476872584,5.288065457682924,1.961452002159335,86.33951131169967,0.693220663121713,1211225.0,-6621905.0,-5980697.0,False,True,True,Pre-pandemia (2017-2019),N8,1.3674184437171188,41.75333813484474,"BOGOTA, D.C.",Alerta,26159906.0,0.0,0.0,False
800026845,OCATI SA,G4631 - Comercio al por mayor de productos alimenticios,CUNDINAMARCA,2017-12-31,10789897.0,11841490.0,20881678.0,12030042.0,8851636.0,2661465.0,63016618.0,1448119.0,433857.0,-159360.0,1252187.0,,2017,-1051593.0,3095322.0,-1411547.0,Pequeña,4.911913870084237,2.2979954271744636,6.934878509284551,57.61051386770738,0.9111941993786254,3095322.0,-1051593.0,-1411547.0,False,True,True,Pre-pandemia (2017-2019),G4,0.07311784295594581,-7.383030490396578,CUNDINAMARCA,Alerta,20881678.0,0.0,0.0,False
800027082,CODENEGOCIOS S.A.,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",BOGOTA D.C.,2017-12-31,16650725.0,12688093.0,23780058.0,12688093.0,11091965.0,6567929.0,54727.0,6536857.0,,6516455.0,,,2017,3962632.0,6567929.0,6516455.0,Pequeña,12001.258976373636,11944.482613700733,27.48881857226757,53.35602209212442,1.3123110777955362,6567929.0,3962632.0,6516455.0,False,False,False,Pre-pandemia (2017-2019),K6,11941.875357363684,42.34341873247094,"BOGOTA, D.C.",Sano,23780058.0,0.0,0.0,False
800027543,UNIFLOR S.AS.,A0125 - Cultivo de flor de corte,ANTIOQUIA,2017-12-31,15915468.0,2303979.0,38527892.0,17426899.0,21100993.0,2559673.0,21909042.0,707300.0,329288.0,-1101518.0,6790651.0,,2017,13611489.0,2888961.0,-7892169.0,Mediana,13.186158481963748,3.2283474558129925,1.8358128703226224,45.23190368162369,6.9078181702176975,2888961.0,13611489.0,-7892169.0,False,False,True,Pre-pandemia (2017-2019),A0,2.726362904272257,4.65493860369218,ANTIOQUIA,Alerta,38527892.0,0.0,0.0,False
